filename,pose_bucket,pose_yaw,pose_pitch,pose_roll,quality_overall,quality_sharpness,quality_blur,quality_jpeg_noise,expression_mouth_open_intensity,expression_smile_intensity,mesh_path,geo_cranial_face_index,geo_jaw_width_ratio,geo_canthal_tilt_3d_L,geo_canthal_tilt_3d_R,geo_canthal_tilt_L,geo_canthal_tilt_R,geo_interorbital_ratio,geo_orbit_depth_L_ratio,geo_orbit_depth_R_ratio,geo_gonial_angle_L,geo_gonial_angle_R,geo_mandibular_ramus_length,geo_nose_width_ratio,geo_nose_projection_ratio,geo_nasal_frontal_index,geo_chin_projection_ratio,geo_orbit_centroid_ratio,geo_glabella_nasion_projection_angle,geo_forehead_slope_index,geo_nasofacial_angle_ratio,geo_orbital_perimeter_symmetry,geo_orbital_asymmetry_index,geo_gnathion_midline_deviation_ratio,tex_lbp_uniformity,tex_lbp_entropy,tex_glcm_contrast,tex_glcm_energy,tex_glcm_homogeneity,tex_glcm_correlation,tex_gabor_mean,tex_gabor_std,tex_laplacian_energy,tex_spot_density,tex_specular_gloss,tex_skin_tone_std,tex_pigmentation_index,tex_wrinkle_forehead,tex_nasolabial_depth,tex_crow_feet_score,tex_nose_pore_density,tex_uv_spot_density,tex_uv_wrinkle_energy,tex_uv_texture_entropy,tex_uv_silicone_flatness,tex_uv_retouch_score,tex_quality_sharpness_score,tex_quality_noise_score,tex_quality_quality_index,tex_notes
calibration_y-10p-3r-1.jpg,frontal,-9.9918,-3.5275,-1.249,0.9191,135.5647,135.5647,1.1298,0.1267,1.645,/Volumes/SDCARD/storage/calibration/calibration_y-10p-3r-1,0.6253,0.1745,9.2261,7.7305,9.2261,7.7305,0.7302,0.0488,0.0575,55.8018,41.9952,0.581,0.1876,0.3422,-0.3529,0.0691,0.529,170.3552,1.8928,0.214,0.7973,0.2027,0.4839,0.1297,2.1593,2.3952,0.5617,0.9053,0.9861,10.6544,26.4302,0.0094,0.058,0.029,18.633,6.7413,0.0069,0.0402,0.0087,864.0805,0.0703,15.1132,1.2998,0.5722,0.1466,494.7771,47.6295,0.8695,[]
calibration_y-10p-7r-6.jpg,frontal,9.6004,4.1544,6.107,0.9763,371.4078,371.4078,1.9789,0.1207,2.2542,/Volumes/SDCARD/storage/calibration/calibration_y-10p-7r-6,0.6412,0.1727,9.821,8.6409,9.821,8.6409,0.7326,0.0505,0.056,58.8462,43.3476,0.5871,,0.3433,-0.3772,0.0623,0.5181,175.5951,1.9511,,0.8065,0.1935,0.4755,0.1131,2.2377,2.3892,0.5802,0.8773,0.987,13.8013,26.9514,0.0116,0.0546,0.0285,16.6448,5.8961,0.0072,0.0827,0.0056,947.1112,0.0613,29.8999,1.2664,0.5692,0.1493,531.7451,42.9848,0.8723,[]
calibration_y-10p4r0.jpg,frontal,-9.8392,3.9331,-0.2675,0.9756,389.3198,389.3198,2.0348,0.1164,1.8437,/Volumes/SDCARD/storage/calibration/calibration_y-10p4r0,0.649,0.1615,14.0023,5.8486,14.0023,5.8486,0.72,0.0264,0.0372,60.8755,45.0847,0.5771,0.2007,0.3055,-0.3624,0.055,0.5086,178.8583,1.9873,0.1983,0.7809,0.2191,0.4343,0.1147,2.2285,1.9308,0.5556,0.8768,0.9882,12.9284,28.0283,0.0107,0.0562,0.0264,21.2783,2.8422,0.0043,0.0971,0.004,587.0761,0.045,69.3096,1.2904,0.3661,0.1145,414.4569,53.6482,0.8589,[]
calibration_y-11p-6r-13.jpg,frontal,10.0895,4.7517,14.0614,0.9765,456.8259,456.8259,1.9574,0.0121,2.0997,/Volumes/SDCARD/storage/calibration/calibration_y-11p-6r-13,0.6345,0.1769,8.3521,8.4236,8.3521,8.4236,0.7294,0.0533,0.0593,58.3342,43.1132,0.5845,0.1907,0.3473,-0.3717,0.065,0.5199,173.7351,1.9304,0.2203,0.8106,0.1894,0.4796,0.1165,2.2211,2.2047,0.6075,0.8909,0.9877,13.0253,25.9237,0.0116,0.0565,0.0276,16.6249,5.7785,0.0068,0.0789,0.0037,956.9032,0.0621,28.8162,1.2682,0.5772,0.1502,500.8246,42.947,0.8684,[]
calibration_y-12p8r4.jpg,frontal,-12.3743,7.905,3.9428,0.9854,178.7435,178.7435,1.2196,0.1624,1.3734,/Volumes/SDCARD/storage/calibration/calibration_y-12p8r4,0.651,0.162,11.4278,0.8852,11.4278,0.8852,0.7249,0.0353,0.0486,58.1634,43.2375,0.5725,0.1849,0.3159,-0.365,0.0626,0.511,172.9499,1.9217,0.2056,0.7729,0.2271,0.4503,0.1166,2.2089,1.1485,0.5882,0.9498,0.992,5.4139,21.6738,0.0045,0.0902,0.027,7.7361,3.53,0.0034,0.0114,0.0035,527.9732,0.0861,14.464,1.0952,0.6385,0.1139,236.4628,19.3309,0.2942,[]
calibration_y-15p4r5.jpg,frontal,-14.5671,4.2825,5.2419,0.9709,587.8509,587.8509,2.4262,0.0054,1.6345,/Volumes/SDCARD/storage/calibration/calibration_y-15p4r5,0.6396,0.1582,13.8846,5.4591,13.8846,5.4591,0.7285,0.0316,0.0451,59.3267,44.6656,0.5725,0.1993,0.3137,-0.3567,0.0607,0.5196,176.2214,1.958,0.2006,0.7723,0.2277,0.4254,0.1154,2.2264,2.5279,0.503,0.8572,0.9858,14.3691,28.463,0.0166,0.0524,0.0297,21.4688,2.9381,0.0052,0.1106,0.0077,691.5123,0.0382,72.1083,1.315,0.3365,0.1188,671.5655,54.3923,0.8608,[]
calibration_y-18p11r-12.jpg,left_threequarter_light,-17.9893,10.7689,-12.339,0.9758,445.1603,445.1603,2.019,0.0165,1.2675,/Volumes/SDCARD/storage/calibration/calibration_y-18p11r-12,0.6377,0.1596,14.4059,,14.4059,,0.736,0.026,,57.62,43.1373,0.5712,0.1871,0.3101,-0.3631,0.0577,0.5309,178.094,1.9788,0.1977,0.7682,0.2318,0.4892,0.113,2.2377,3.2242,0.5827,0.885,0.9819,12.5727,27.4776,0.0156,0.0524,0.0242,19.5733,6.2834,0.0092,0.0614,0.0128,1208.8434,0.0554,27.9772,1.3068,0.5145,0.1446,742.8996,50.18,0.8346,[]
calibration_y-19p3r4.jpg,left_threequarter_light,-19.2163,2.6795,3.542,0.8861,129.0331,129.0331,1.3396,0.0172,1.3155,/Volumes/SDCARD/storage/calibration/calibration_y-19p3r4,0.6511,0.1531,8.527,,8.527,,0.7063,0.0481,,57.9881,43.6601,0.5716,0.1898,0.3101,-0.357,0.0627,0.5087,175.2498,1.9472,0.2019,0.7439,0.2561,0.4449,0.1113,2.2438,2.3624,0.5731,0.917,0.9836,8.3563,24.5148,0.0105,0.0606,0.027,13.1651,5.2213,0.0109,0.0261,0.0097,882.3134,0.0726,13.285,1.2357,0.6984,0.1471,561.5872,33.0538,0.8381,[]
calibration_y-1p-10r3.jpg,frontal,2.044,12.5643,-2.4323,0.9587,737.74,737.74,3.4375,0.3196,1.8039,/Volumes/SDCARD/storage/calibration/calibration_y-1p-10r3,0.6121,,8.6242,6.3928,8.6242,6.3928,0.7389,0.0433,0.0523,,,,0.1881,0.3308,-0.3569,,0.5294,172.942,1.9216,0.2025,0.7938,0.2062,,0.1096,2.2588,2.1859,0.5882,0.8719,0.986,14.3287,29.8922,0.0123,0.0339,0.0396,17.2039,7.4639,0.0062,0.0772,0.0085,660.9716,0.0435,59.3478,1.299,0.3369,0.1123,470.559,44.6554,0.8607,[]
calibration_y-1p-2r-3.jpg,frontal,1.6699,4.7451,2.5213,0.8457,120.9602,120.9602,1.5682,0.1072,1.458,/Volumes/SDCARD/storage/calibration/calibration_y-1p-2r-3,0.6491,0.159,13.0117,6.3162,13.0117,6.3162,0.7215,0.0194,0.0248,58.6405,43.8731,0.5844,0.1842,0.2985,-0.3655,0.0534,0.5083,176.4627,1.9607,0.1937,0.7953,0.2047,0.475,0.1096,2.2531,1.3427,0.5813,0.9027,0.9917,7.7519,20.5072,0.0059,0.0605,0.0276,16.6924,4.8402,0.0045,0.0457,0.0029,644.9172,0.0783,26.075,1.3041,0.5968,0.1171,285.6447,42.9597,0.442,[]
calibration_y-1p6r-2.jpg,frontal,-1.9228,5.7191,-1.5713,0.9553,981.8469,981.8469,3.7285,0.1102,1.2326,/Volumes/SDCARD/storage/calibration/calibration_y-1p6r-2,0.6495,0.1678,12.5365,5.2975,12.5365,5.2975,0.6994,0.0246,0.0349,58.5407,43.1511,0.5925,0.1942,0.3052,-0.3712,0.0549,0.4925,176.9334,1.9659,0.1982,0.7866,0.2134,0.4884,0.1131,2.2447,2.7691,0.577,0.8604,0.9846,12.3153,24.8736,0.0186,0.0277,0.0258,22.4464,14.0353,0.0093,0.0656,0.0105,1338.58,0.0391,27.0299,1.2964,0.5504,0.1405,757.5247,57.9414,0.8885,[]
calibration_y-1p9r5.jpg,frontal,-1.2758,9.4445,4.9303,0.9769,474.4254,474.4254,1.9229,0.0587,1.939,/Volumes/SDCARD/storage/calibration/calibration_y-1p9r5,0.6768,0.1602,10.3304,4.4608,10.3304,4.4608,0.7067,0.0296,0.039,60.4271,43.7169,0.5859,0.1944,0.3079,-0.3754,0.0565,0.4958,177.2904,1.9699,0.2084,0.8042,0.1958,0.4186,0.1199,2.2034,1.4874,0.5628,0.9112,0.9916,7.5384,22.4038,0.0094,0.0682,0.029,20.9677,8.1482,0.0067,0.0588,0.0035,499.6335,0.065,38.8758,1.3252,0.4432,0.1248,385.121,54.5643,0.7954,[]
calibration_y-20p7r-10.jpg,right_threequarter_light,20.8871,-5.7424,8.4519,0.9804,389.7095,389.7095,1.6319,0.1389,2.0193,/Volumes/SDCARD/storage/calibration/calibration_y-20p7r-10,0.6429,0.186,,2.9315,,2.9315,0.7371,,0.0957,55.425,41.0411,0.6114,0.2017,0.3871,-0.3625,0.0807,0.5391,162.0855,1.801,0.2489,0.8125,0.1875,0.4121,0.128,2.1689,2.1003,0.589,0.901,0.9895,11.2413,24.7763,0.01,0.0785,0.0246,14.5471,4.0153,,,,,0.0843,24.1254,1.2585,0.6033,0.1519,475.895,37.564,0.8208,[]
calibration_y-21p-2r4.jpg,right_threequarter_light,24.1544,1.1516,-3.4359,0.957,871.3142,871.3142,3.5794,0.0274,2.5521,/Volumes/SDCARD/storage/calibration/calibration_y-21p-2r4,0.631,0.1672,,2.2341,,2.2341,0.7298,,0.0582,54.96,42.5802,0.6,,0.3545,-0.365,0.0726,0.5217,171.4813,1.9053,,0.8315,0.1685,0.4816,0.1103,2.2563,1.8307,0.5967,0.8735,0.9884,14.7448,28.7551,0.0108,0.0377,0.0285,15.1164,6.1786,,,,,0.0492,53.5943,1.2913,0.4543,0.1096,407.9135,39.2893,0.7957,[]
calibration_y-21p0r-1.jpg,left_threequarter_light,-20.7019,0.3512,-0.9181,0.9815,235.2946,235.2946,1.5452,0.0295,1.35,/Volumes/SDCARD/storage/calibration/calibration_y-21p0r-1,0.6252,0.1609,11.1045,,11.1045,,0.7363,0.0297,,56.1165,42.68,0.5694,0.1838,0.3225,-0.356,0.0611,0.5311,174.0204,1.9336,0.2016,0.7814,0.2186,0.4717,0.1213,2.1965,2.9423,0.5384,0.9038,0.984,9.6643,26.8759,0.0115,0.0578,0.0281,18.9423,6.4554,,,,,0.0595,18.4538,1.3086,0.5656,0.1414,650.5827,48.7058,0.8339,[]
calibration_y-21p0r-2.jpg,left_threequarter_light,-20.4835,-0.2556,-1.6081,0.9847,168.3386,168.3386,1.2754,0.0317,1.4237,/Volumes/SDCARD/storage/calibration/calibration_y-21p0r-2,0.6222,0.1627,10.8668,,10.8668,,0.7406,0.0274,,56.1792,42.5884,0.5673,0.1858,0.3216,-0.355,0.0607,0.533,174.906,1.9434,0.2001,0.7779,0.2221,0.4817,0.1239,2.1863,2.7342,0.5605,0.9074,0.9848,9.5561,26.657,0.0112,0.0608,0.0287,19.2906,6.5118,,,,,0.0597,18.5464,1.312,0.5596,0.1453,599.582,49.5177,0.8337,[]
calibration_y-21p3r4.jpg,right_threequarter_light,21.2493,-7.926,-7.4435,0.9804,245.4427,245.4427,1.6302,0.3411,2.3189,/Volumes/SDCARD/storage/calibration/calibration_y-21p3r4,0.6525,,,2.7936,,2.7936,0.7277,,0.0609,,,,,0.3514,-0.3776,,0.52,172.8638,1.9207,,0.8141,0.1859,,0.1155,2.2262,2.2807,0.5725,0.8846,0.9887,13.2092,26.1594,0.0105,0.0802,0.0282,15.4339,4.8115,,,,,0.0918,26.4415,1.272,0.5872,0.1433,510.3519,39.6295,0.8176,[]
calibration_y-22p-1r18.jpg,right_threequarter_light,21.2273,-7.2595,-22.7167,0.9813,362.8731,362.8731,1.5558,0.197,2.3469,/Volumes/SDCARD/storage/calibration/calibration_y-22p-1r18,0.639,0.1707,,6.6548,,6.6548,0.7276,,0.0706,56.061,42.6957,0.599,,0.3653,-0.3711,0.072,0.524,169.7769,1.8864,,0.8118,0.1882,0.468,0.1179,2.2141,2.1091,0.6093,0.8981,0.9892,13.0973,26.6438,0.0104,0.0807,0.0256,15.3195,4.5593,,,,,0.0927,25.055,1.2698,0.5912,0.1449,466.1879,39.3336,0.8155,[]
calibration_y-22p-9r12.jpg,right_threequarter_light,22.8177,2.9296,-10.9446,0.9795,259.2156,259.2156,1.7104,0.3393,2.1404,/Volumes/SDCARD/storage/calibration/calibration_y-22p-9r12,0.6384,,,2.151,,2.151,0.7213,,0.0551,,,,0.1755,0.3521,-0.3621,,0.512,170.9632,1.8996,0.2248,0.8028,0.1972,,0.12,2.2051,2.6069,0.5994,0.8926,0.9871,14.7236,28.8517,0.0125,0.091,0.0278,14.0067,3.6621,,,,,0.103,20.1772,1.2508,0.6098,0.1627,596.3442,36.1426,0.8192,[]
calibration_y-23p13r3.jpg,left_threequarter_light,-22.4643,12.6661,3.1393,0.9698,496.8418,496.8418,2.5205,0.1514,1.5202,/Volumes/SDCARD/storage/calibration/calibration_y-23p13r3,0.6348,0.1516,15.1746,,15.1746,,0.7117,0.0365,,58.739,44.8722,0.5848,0.1982,0.3231,-0.3706,0.0626,0.5088,177.723,1.9747,0.2051,0.7502,0.2498,0.4151,0.1119,2.2426,2.4171,0.5198,0.858,0.9854,14.7615,29.991,0.0134,0.038,0.0287,21.5463,3.3107,,,,,0.0291,82.8189,1.319,0.3195,0.1159,558.2235,54.7084,0.801,[]
calibration_y-23p2r7.jpg,left_threequarter_light,-23.3875,2.5048,6.6187,0.979,247.6212,247.6212,1.7523,0.0308,1.833,/Volumes/SDCARD/storage/calibration/calibration_y-23p2r7,0.6396,0.1546,7.6215,,7.6215,,0.7185,0.0253,,59.6348,45.0546,0.5685,0.1928,0.3076,-0.3578,0.058,0.5176,178.1416,1.9794,0.1967,0.7653,0.2347,0.4012,0.115,2.2269,1.8115,0.5754,0.8851,0.9881,13.4683,27.9163,0.0101,0.0601,0.0276,20.1945,2.878,,,,,0.0451,63.664,1.3002,0.3915,0.1158,390.3655,50.9357,0.7598,[]
calibration_y-24p-15r2.jpg,right_threequarter_light,19.5668,14.6106,3.3937,0.9724,261.6119,261.6119,2.3039,0.0216,1.8929,/Volumes/SDCARD/storage/calibration/calibration_y-24p-15r2,0.6663,0.1414,,13.9848,,13.9848,0.7178,,0.0487,58.1007,44.3582,0.6045,0.1956,0.3118,-0.3712,0.0568,0.5049,177.4289,1.9714,0.2078,0.8089,0.1911,0.4021,0.1081,2.2615,1.3983,0.5693,0.8923,0.9916,7.4069,20.757,0.0064,0.0732,0.0279,19.4974,5.5151,0.0063,0.053,0.0034,541.2825,0.0681,34.886,1.3175,0.5477,0.113,295.6879,49.9533,0.4335,[]
calibration_y-25p12r-10.jpg,left_threequarter_light,-24.9995,12.4825,-9.8172,0.9764,176.7593,176.7593,1.9635,0.1232,1.8729,/Volumes/SDCARD/storage/calibration/calibration_y-25p12r-10,0.6527,0.1568,16.5918,,16.5918,,0.7245,0.0103,,59.0143,44.2023,0.5789,0.1962,0.2955,-0.3806,0.0483,0.5135,177.0924,1.9677,0.1929,0.7409,0.2591,0.4256,0.1082,2.2607,1.2344,0.5729,0.9086,0.9923,5.7014,19.9026,0.0055,0.0788,0.0268,19.7044,5.1534,,,,,0.068,26.3893,1.3268,0.5998,0.1103,265.7972,50.3622,0.3399,[]
calibration_y-27p15r-7.jpg,left_threequarter_mid,-26.5497,14.7029,-7.3609,0.9739,224.5092,224.5092,2.1778,0.3716,2.1529,/Volumes/SDCARD/storage/calibration/calibration_y-27p15r-7,0.6678,,3.0904,,3.0904,,0.6942,0.0056,,,,,0.1992,0.2849,-0.3745,,0.5103,176.8216,1.9647,0.1902,0.7434,0.2566,,0.108,2.2618,1.3469,0.5497,0.8913,0.9921,7.3182,20.0454,0.0058,0.0829,0.0295,20.4311,5.1707,,,,,0.0695,30.2952,1.3297,0.5701,0.1117,289.2796,52.1807,0.3937,[]
calibration_y-28p-6r3.jpg,right_threequarter_mid,28.2413,4.7315,-1.335,0.9664,447.7185,447.7185,2.804,0.0067,2.0943,/Volumes/SDCARD/storage/calibration/calibration_y-28p-6r3,0.6499,0.1625,,11.8998,,11.8998,0.691,,0.0687,55.6584,43.2563,0.6056,0.1948,0.3529,-0.358,0.0713,0.5185,167.6626,1.8629,0.2294,0.8022,0.1978,0.4063,0.1157,2.2336,1.5591,0.598,0.89,0.9882,10.5245,25.9316,0.0084,0.0387,0.0289,10.0907,8.4624,,,,,0.0407,38.6338,1.1732,0.4907,0.1085,345.8854,26.2847,0.5711,[]
calibration_y-29p-14r7.jpg,left_threequarter_mid,-28.6883,-14.3637,7.6902,0.8766,127.2766,127.2766,1.4495,0.1241,1.9624,/Volumes/SDCARD/storage/calibration/calibration_y-29p-14r7,0.6342,0.1508,24.9009,,24.9009,,0.7134,0.0286,,59.0398,44.3626,0.5454,0.192,0.3005,-0.3339,0.0559,0.5357,174.2687,1.9363,0.1906,0.7668,0.2332,0.3678,0.1168,2.2162,1.4168,0.5664,0.9008,0.9901,11.4151,24.2684,0.0059,0.0638,0.029,19.8238,2.7048,,,,,0.0512,35.3579,1.2969,0.5108,0.1152,274.3959,49.5837,0.3479,[]
calibration_y-2p-1r-4.jpg,frontal,0.496,0.7807,3.6457,0.9767,265.2034,265.2034,1.9405,0.3366,1.3033,/Volumes/SDCARD/storage/calibration/calibration_y-2p-1r-4,0.6501,,11.1256,4.514,11.1256,4.514,0.7265,0.0265,0.0367,,,,0.1754,0.3013,-0.3564,,0.5164,176.099,1.9567,0.1958,0.8056,0.1944,,0.1134,2.2307,1.1789,0.6002,0.947,0.991,5.4575,22.032,0.0049,0.0637,0.025,8.3438,6.7009,0.0047,0.0112,0.0031,467.7102,0.0654,14.5584,1.1307,0.6603,0.1129,247.4385,20.6197,0.3329,[]
calibration_y-2p-3r-7.jpg,frontal,1.4185,3.8437,6.6121,0.9783,286.9906,286.9906,1.8113,0.0261,1.4865,/Volumes/SDCARD/storage/calibration/calibration_y-2p-3r-7,0.6458,0.1608,12.6087,5.6202,12.6087,5.6202,0.7159,0.0182,0.0242,57.8167,43.7388,0.5851,0.1837,0.3013,-0.366,0.0541,0.5037,177.0504,1.9672,0.1946,0.8038,0.1962,0.4812,0.1088,2.2592,2.7985,0.5891,0.8811,0.9821,11.692,23.1352,0.0156,0.0579,0.0282,16.4133,5.7823,0.0146,0.0651,0.008,1500.0813,0.0774,15.7382,1.296,0.6802,0.1645,736.7153,42.3738,0.8908,[]
calibration_y-2p11r19.jpg,frontal,-2.5142,10.9228,18.7995,0.9833,275.5799,275.5799,1.3949,0.001,1.3352,/Volumes/SDCARD/storage/calibration/calibration_y-2p11r19,0.6583,0.1654,12.1366,7.6576,12.1366,7.6576,0.7073,0.0456,0.0539,59.4983,43.3316,0.5889,0.185,0.3157,-0.3608,0.0632,0.5061,175.4507,1.9495,0.2078,0.7792,0.2208,0.45,0.1154,2.2232,2.1435,0.6065,0.9144,0.9878,11.0732,26.1994,0.0104,0.0474,0.0297,19.109,7.3744,0.0064,0.0416,0.0057,909.8634,0.0571,22.2555,1.2874,0.5493,0.1347,473.3558,49.3008,0.8659,[]
calibration_y-2p12r-1.jpg,frontal,-1.555,11.7593,-1.3406,0.9752,200.6477,200.6477,2.0627,0.0605,1.508,/Volumes/SDCARD/storage/calibration/calibration_y-2p12r-1,0.6545,0.1594,12.1387,5.0746,12.1387,5.0746,0.7194,0.0204,0.0288,58.7704,43.1226,0.5931,0.1945,0.2981,-0.3721,0.0532,0.5075,178.4943,1.9833,0.1951,0.7949,0.2051,0.4476,0.1096,2.2536,1.2429,0.5746,0.899,0.9927,6.4125,19.0645,0.0058,0.0846,0.0291,19.9796,5.1748,0.0063,0.0499,0.0026,545.5256,0.0776,30.3178,1.3364,0.6044,0.1179,269.4001,51.0226,0.3862,[]
calibration_y-2p12r-2.jpg,frontal,-1.9641,12.0177,-1.5496,0.9713,351.1538,351.1538,2.3909,0.0676,1.5503,/Volumes/SDCARD/storage/calibration/calibration_y-2p12r-2,0.6612,0.1585,12.5313,5.6119,12.5313,5.6119,0.721,0.0226,0.0309,58.822,42.9125,0.5933,0.1935,0.2987,-0.3725,0.0541,0.5112,178.8986,1.9878,0.1975,0.7877,0.2123,0.4406,0.1109,2.2488,2.0421,0.5585,0.8812,0.9878,8.7541,20.9234,0.0103,0.084,0.0279,19.7617,6.3922,0.0119,0.0752,0.0049,981.4439,0.0798,22.027,1.3333,0.685,0.1512,500.4398,50.5134,0.8651,[]
calibration_y-2p5r-8.jpg,frontal,-2.1427,5.0003,-8.4805,0.9759,500.6922,500.6922,2.0108,0.1624,1.8026,/Volumes/SDCARD/storage/calibration/calibration_y-2p5r-8,0.6496,0.1657,14.2502,7.4789,14.2502,7.4789,0.7318,0.0194,0.0313,59.1437,43.3455,0.5837,0.1888,0.3052,-0.3684,0.0529,0.5213,177.8126,1.9757,0.1983,0.7895,0.2105,0.5057,0.1131,2.2364,2.6578,0.571,0.8836,0.9861,12.8641,27.5752,0.0128,0.0472,0.0296,21.267,7.3992,0.0068,0.054,0.0092,970.3755,0.0546,33.8303,1.3053,0.4895,0.1371,583.8528,55.0425,0.8854,[]
calibration_y-2p6r-1.jpg,frontal,-2.3044,6.0277,-1.0921,0.9392,1333.944,1333.944,5.0661,0.1139,1.3076,/Volumes/SDCARD/storage/calibration/calibration_y-2p6r-1,0.6432,0.1665,10.6612,4.8743,10.6612,4.8743,0.7095,0.0363,0.0445,58.0017,42.9486,0.5818,0.1885,0.3085,-0.3511,0.0629,0.4953,174.6942,1.941,0.1984,0.8004,0.1996,0.467,0.1141,2.2405,3.8709,0.5088,0.7915,0.9839,16.8359,26.2555,0.0256,0.089,0.0299,18.2294,7.3943,0.0127,0.0916,0.0225,1875.0031,0.1033,54.2437,1.3137,0.467,0.1319,1126.9774,46.7191,0.8907,[]
calibration_y-2p6r-2.jpg,frontal,-1.7583,5.6704,-1.5663,0.9603,638.3771,638.3771,3.3096,0.0944,1.1512,/Volumes/SDCARD/storage/calibration/calibration_y-2p6r-2,0.6475,0.1685,12.5071,5.0806,12.5071,5.0806,0.7024,0.0254,0.036,58.5999,43.235,0.5898,0.1962,0.3054,-0.3705,0.0546,0.494,176.5863,1.9621,0.1977,0.7824,0.2176,0.4905,0.1067,2.2719,1.8852,0.5763,0.859,0.9896,13.0831,24.5463,0.012,0.0281,0.0253,22.51,11.4876,0.0054,0.0985,0.0067,756.0402,0.0435,57.628,1.3058,0.3976,0.1103,453.0568,57.7703,0.8757,[]
calibration_y-2p6r-4.jpg,frontal,0.6245,-4.8417,2.8329,0.9736,438.5751,438.5751,2.1988,0.2502,1.4064,/Volumes/SDCARD/storage/calibration/calibration_y-2p6r-4,0.6528,,11.81,5.3464,11.81,5.3464,0.7096,0.0328,0.0432,,,,0.1943,0.3043,-0.3514,,0.5001,176.3623,1.9596,0.1986,0.7935,0.2065,,0.1125,2.2392,2.2391,0.5898,0.906,0.9815,9.7307,23.5408,0.012,0.0948,0.0266,9.6601,6.1324,0.0127,0.0326,0.0055,1081.4973,0.0961,12.8855,1.1537,0.6997,0.1554,581.3278,23.8106,0.8861,[]
calibration_y-2p7r-2.jpg,frontal,-1.7832,6.8907,-2.0735,0.9565,972.2229,972.2229,3.623,0.1984,1.1663,/Volumes/SDCARD/storage/calibration/calibration_y-2p7r-2,0.6634,0.1655,9.5181,3.5279,9.5181,3.5279,0.6929,0.0363,0.0477,60.4014,43.6827,0.5895,0.188,0.2946,-0.3611,0.059,0.4883,176.9796,1.9664,0.1954,0.8004,0.1996,0.4651,0.1192,2.2169,2.4147,0.5602,0.8644,0.9811,11.6265,25.6223,0.0155,0.0763,0.0285,11.1383,6.6352,0.0075,0.0395,0.0092,977.4961,0.0741,25.0428,1.2127,0.5487,0.131,648.2461,28.256,0.8845,[]
calibration_y-2p7r5.jpg,frontal,-1.8399,6.7679,5.3325,0.9815,255.2159,255.2159,1.5401,0.0562,1.84,/Volumes/SDCARD/storage/calibration/calibration_y-2p7r5,0.672,0.1519,10.4879,3.7012,10.4879,3.7012,0.7206,0.0253,0.0346,59.3346,43.9099,0.5913,0.1987,0.2935,-0.3695,0.0527,0.5081,178.583,1.9843,0.1972,0.7894,0.2106,0.4353,0.1156,2.2176,1.3007,0.5704,0.9234,0.9911,7.2738,21.4906,0.0064,0.0524,0.0298,12.1948,3.7198,0.0054,0.0336,0.0031,497.4132,0.0608,34.4922,1.2472,0.5042,0.1165,294.658,31.6009,0.4686,[]
calibration_y-32p1r6.jpg,left_threequarter_mid,-31.8376,1.3192,5.9733,0.9641,746.5579,746.5579,2.9928,0.0945,1.7783,/Volumes/SDCARD/storage/calibration/calibration_y-32p1r6,0.6372,0.1489,19.6522,,19.6522,,0.6912,0.0257,,58.1647,44.9933,0.5672,0.196,0.3092,-0.3561,0.0577,0.522,176.4806,1.9609,0.197,0.7405,0.2595,0.3943,0.1072,2.2674,3.5258,0.5444,0.8362,0.9786,15.7581,26.6529,0.0247,0.069,0.0287,20.221,3.4414,,,,,0.056,52.2553,1.3181,0.4594,0.141,1011.7696,51.2566,0.7608,[]
