pair_id,group,photo_A,photo_B,photo_B_date,calibration_quality,calibration_A,calibration_B,pose_distance_A,pose_distance_B,approximate_match,anomalies_count
2014_08_27_y-4p7r0__2014_09_24_y-8p-29r4,unclassified,2014_08_27_y-4p7r0,2014_09_24_y-8p-29r4,2014-09-24T00:00:00,low,calibration_y-4p5r0,calibration_y-8p-9r6,2.0,20.09975124224178,True,7
1999_09_03_y-34p5r18__2000_02_26_y-30p-3r0,left_threequarter_mid,1999_09_03_y-34p5r18,2000_02_26_y-30p-3r0,2000-02-26T00:00:00,marginal,calibration_y-32p1r6,calibration_y-28p-6r3,12.806248474865697,4.69041575982343,False,21
2025_02_06_y5p-9r-1__2025_02_19_y3p-24r-1,frontal,2025_02_06_y5p-9r-1,2025_02_19_y3p-24r-1,2025-02-19T00:00:00,marginal,calibration_y3p-8r0,calibration_y2p-13r-4,2.449489742783178,11.445523142259598,False,13
2006_08_03_y-2p11r0__2006_09_09_y-2p-14r0,unclassified,2006_08_03_y-2p11r0,2006_09_09_y-2p-14r0,2006-09-09T00:00:00,medium,calibration_y-2p12r-1,calibration_y-1p-10r3,1.4142135623730951,5.0990195135927845,False,7
2020_03_24_y27p-23r-13__2020_05_13_y42p10r10,right_threequarter_mid,2020_03_24_y27p-23r-13,2020_05_13_y42p10r10,2020-05-13T00:00:00,marginal,calibration_y36p-30r-13,calibration_y40p6r11,11.40175425099138,4.58257569495584,False,9
2022_12_26_y60p-5r4__2023_01_13_y59p2r0,right_threequarter_deep,2022_12_26_y60p-5r4,2023_01_13_y59p2r0,2023-01-13T00:00:00,medium,calibration_y59p-1r5,calibration_y59p-1r5,4.242640687119285,5.830951894845301,False,10
2016_01_15_y-5p-17r1__2016_02_05_y-6p15r0,unclassified,2016_01_15_y-5p-17r1,2016_02_05_y-6p15r0,2016-02-05T00:00:00,medium,calibration_y-1p-10r3,calibration_y-9p13r3,8.306623862918075,4.69041575982343,False,5
2010_02_16_y1p9r0__2010_03_17_y9p3r0,frontal,2010_02_16_y1p9r0,2010_03_17_y9p3r0,2010-03-17T00:00:00,high,calibration_y0p9r2,calibration_y6p3r0,2.23606797749979,3.0,False,8
2015_11_26_y-12p15r0__2016_01_14_y-22p-27r10,left_threequarter_light,2015_11_26_y-12p15r0,2016_01_14_y-22p-27r10,2016-01-14T00:00:00,marginal,calibration_y-12p8r4,calibration_y-24p-15r2,8.06225774829855,14.560219778561036,False,18
2014_10_13_y-41p10r-9__2014_11_10_y-26p-13r4,left_threequarter_mid,2014_10_13_y-41p10r-9,2014_11_10_y-26p-13r4,2014-11-10T00:00:00,marginal,calibration_y-36p12r2,calibration_y-29p-14r7,12.24744871391589,4.358898943540674,False,12
2015_02_17_y-17p8r0__2015_03_05_y-22p9r-1,left_threequarter_light,2015_02_17_y-17p8r0,2015_03_05_y-22p9r-1,2015-03-05T00:00:00,medium,calibration_y-12p8r4,calibration_y-23p13r3,6.4031242374328485,5.744562646538029,False,10
2025_01_17_y6p-19r-2__2025_01_21_y7p14r0,frontal,2025_01_17_y6p-19r-2,2025_01_21_y7p14r0,2025-01-21T00:00:00,medium,calibration_y2p-13r-4,calibration_y6p9r2,7.483314773547883,5.477225575051661,False,1
2012_02_09_y1p4r0__2012_03_05_y0p-8r0,frontal,2012_02_09_y1p4r0,2012_03_05_y0p-8r0,2012-03-05T00:00:00,high,calibration_y1p4r3,calibration_y3p-8r0,3.0,3.0,False,2
2012_05_09_y-74p19r-3__2012_06_20_y-71p7r-2,left_profile,2012_05_09_y-74p19r-3,2012_06_20_y-71p7r-2,2012-06-20T00:00:00,marginal,calibration_y-78p26r-15,calibration_y-67p-2r0,14.45683229480096,10.04987562112089,False,8
2016_08_15_y-73p-7r13__2016_09_01_y-71p6r6,left_profile,2016_08_15_y-73p-7r13,2016_09_01_y-71p6r6,2016-09-01T00:00:00,marginal,calibration_y-67p-7r14,calibration_y-67p-2r0,6.082762530298219,10.770329614269007,False,14
2022_05_11_y32p-18r-9__2022_05_23_y27p-15r-8,right_threequarter_mid,2022_05_11_y32p-18r-9,2022_05_23_y27p-15r-8,2022-05-23T00:00:00,marginal,calibration_y42p-11r-7,calibration_y35p-9r1,12.36931687685298,13.45362404707371,False,2
2015_07_02_y-58p-10r3__2015_08_29_y-52p-12r7,left_threequarter_deep,2015_07_02_y-58p-10r3,2015_08_29_y-52p-12r7,2015-08-29T00:00:00,marginal,calibration_y-61p-4r0,calibration_y-50p-3r1,7.3484692283495345,11.0,False,6
2015_08_17_y-42p-32r26__2015_10_21_y-30p-11r3,left_threequarter_mid,2015_08_17_y-42p-32r26,2015_10_21_y-30p-11r3,2015-10-21T00:00:00,marginal,calibration_y-41p-32r15,calibration_y-29p-14r7,11.045361017187261,5.0990195135927845,False,7
2010_10_22_y27p16r-1__2010_11_15_y26p-1r4,right_threequarter_mid,2010_10_22_y27p16r-1,2010_11_15_y26p-1r4,2010-11-15T00:00:00,marginal,calibration_y34p8r5,calibration_y28p2r8,12.206555615733702,5.385164807134504,False,3
2019_07_17_y-63p-3r-1__2019_08_10_y-62p1r-3,left_threequarter_deep,2019_07_17_y-63p-3r-1,2019_08_10_y-62p1r-3,2019-08-10T00:00:00,medium,calibration_y-61p-4r0,calibration_y-61p-4r0,2.449489742783178,5.916079783099616,False,3
2012_12_13_y-72p-2r-1__2013_01_10_y-76p-3r-4,left_profile,2012_12_13_y-72p-2r-1,2013_01_10_y-76p-3r-4,2013-01-10T00:00:00,medium,calibration_y-67p-2r0,calibration_y-78p-7r-1,5.0990195135927845,5.385164807134504,False,1
2010_04_24_y-71p2r0__2010_05_20_y-70p0r-4,left_profile,2010_04_24_y-71p2r0,2010_05_20_y-70p0r-4,2010-05-20T00:00:00,medium,calibration_y-67p-2r0,calibration_y-67p-2r0,5.656854249492381,5.385164807134504,False,0
