photo_id,dataset_type,date,yaw,pitch,roll,bucket,expression_jaw_open,expression_smile,path
2014_08_27_y-4p7r0,main,2014-08-27T00:00:00,-4.0,7.0,0.0,unclassified,False,False,/Volumes/SDCARD/photo/main/2014_08_27_y-4p7r0.jpg
1999_09_03_y-34p5r18,main,1999-09-03T00:00:00,-34.0,5.0,18.0,left_threequarter_mid,False,False,/Volumes/SDCARD/photo/main/1999_09_03_y-34p5r18.jpg
2025_02_06_y5p-9r-1,main,2025-02-06T00:00:00,5.0,-9.0,-1.0,frontal,False,False,/Volumes/SDCARD/photo/main/2025_02_06_y5p-9r-1.jpg
2006_08_03_y-2p11r0,main,2006-08-03T00:00:00,-2.0,11.0,0.0,unclassified,False,False,/Volumes/SDCARD/photo/main/2006_08_03_y-2p11r0.jpg
2020_03_24_y27p-23r-13,main,2020-03-24T00:00:00,27.0,-23.0,-13.0,right_threequarter_mid,False,False,/Volumes/SDCARD/photo/main/2020_03_24_y27p-23r-13.jpg
2022_12_26_y60p-5r4,main,2022-12-26T00:00:00,60.0,-5.0,4.0,right_threequarter_deep,False,False,/Volumes/SDCARD/photo/main/2022_12_26_y60p-5r4.jpg
2016_01_15_y-5p-17r1,main,2016-01-15T00:00:00,-5.0,-17.0,1.0,unclassified,False,False,/Volumes/SDCARD/photo/main/2016_01_15_y-5p-17r1.jpg
2010_02_16_y1p9r0,main,2010-02-16T00:00:00,1.0,9.0,0.0,frontal,False,False,/Volumes/SDCARD/photo/main/2010_02_16_y1p9r0.jpg
2015_11_26_y-12p15r0,main,2015-11-26T00:00:00,-12.0,15.0,0.0,left_threequarter_light,False,False,/Volumes/SDCARD/photo/main/2015_11_26_y-12p15r0.jpg
2014_10_13_y-41p10r-9,main,2014-10-13T00:00:00,-41.0,10.0,-9.0,left_threequarter_mid,False,False,/Volumes/SDCARD/photo/main/2014_10_13_y-41p10r-9.jpg
2015_02_17_y-17p8r0,main,2015-02-17T00:00:00,-17.0,8.0,0.0,left_threequarter_light,False,False,/Volumes/SDCARD/photo/main/2015_02_17_y-17p8r0.jpg
2025_01_17_y6p-19r-2,main,2025-01-17T00:00:00,6.0,-19.0,-2.0,frontal,False,False,/Volumes/SDCARD/photo/main/2025_01_17_y6p-19r-2.jpg
2012_02_09_y1p4r0,main,2012-02-09T00:00:00,1.0,4.0,0.0,frontal,False,False,/Volumes/SDCARD/photo/main/2012_02_09_y1p4r0.jpg
2012_05_09_y-74p19r-3,main,2012-05-09T00:00:00,-74.0,19.0,-3.0,left_profile,False,False,/Volumes/SDCARD/photo/main/2012_05_09_y-74p19r-3.jpg
